X1,anger,disgust,fear,joy,sadness,analytical,confident,tentative,openness,conscientiousness,extraversion,agreeableness,emotional_range
"And if you are told from your earliest days that nothing good is going to come from your community, that it's bad and ugly, how could it not reflect on you?",0.01,0,0.07,0.02,0.21,0,0,0,0.5,1,0.93,0.98,0.82
"And we need to rethink our development strategies, so that we're not promoting educational campaigns to get them to stop being farmers, but rather to stop being poor farmers. ",0,0,0.12,0.02,0.21,0,0,0,0.16,0.3,0.71,0.59,0.28
" Don't listen, don't listen! That's the Devil speaking."" This discourages the sort of reasoning citizenship it seems to me that we want to have.I've got one more problem, then I'm through. ",0,0,0.09,0.02,0.21,0,0,0,0.45,0,0,0,0.02
"A three-wheeled car: slow, feminine, transparent, so you can see the people in there. ",0.09,0.02,0.09,0.02,0.2,0,0,0,0.39,0.02,0.93,0.3,0.16
"That's too late, we need to do it now. ",0.05,0.01,0.31,0.02,0.2,0,0,0,0,0.7,0.27,0.79,0.76
Why would someone leave their home to go for a brisk walk in a toxic neighborhood?,0.03,0.03,0.12,0.02,0.2,0,0,0,0,0.21,0.44,0.43,0.37
That's how big and how dark the universe is. ,0.01,0.02,0.64,0.02,0.2,0,0,0,0.94,0.39,0.64,0.55,0.77
I'm sorry; it's not one yet. ,0.01,0.02,0.22,0.02,0.2,0,0,0,0.1,0.17,0.08,0.47,0.04
"Instead of a novel virus caused by bio-terror or bio-error, or shift or drift, we find it and we contain it. ",0.01,0,0.27,0.02,0.2,0.16,0,0,0.98,0.52,0.01,0.05,0.26
"But I have also recognized, in the course of seeing that violence, that being in the face of things and seeing actually what's in front of us is the antidote to depression, and to a feeling that one is worthless and has no value.Because before the ""Vagina Monologues,"" I will say that 80 percent of my consciousness was closed off to what was really going on in this reality, and that closing-off closed off my vitality and my life energy. ",0,0,0.01,0.02,0.2,0.05,0,0,0.79,0.2,0.25,0.09,0.16
Here's what you're supposed to be thinking. ,0.15,0.07,0.23,0.02,0.19,0,0,0,0.14,0.21,0.49,0.71,0.12
"And worst of all, how could I not have realized this very important information until the very day that it was basically useless to me?",0.06,0,0.05,0.02,0.19,0,0,0,0.3,0.21,0,0.77,0.03
"But much worse than that, 90 percent said they thought there'd be a pandemic within your children or your grandchildren's lifetime. ",0,0,0.11,0.02,0.19,0,0,0,0.79,0.31,0.28,0.76,0.64
"And he would think it through and say, ""What was wrong?",0.1,0.05,0.1,0.02,0.18,0,0,0,0.87,0.62,0.26,0.91,0.66
Language breaks down when trying to describe what it would be like in one of those jets. ,0.02,0.01,0.12,0.02,0.18,0,0,0,0.51,0.05,0.08,0.37,0.25
"We have no excuse in this country, I'm sorry. ",0.01,0.01,0.2,0.02,0.18,0,0,0,0.05,0.16,0.51,0.42,0.23
"And it's not important because you can buy components at a lower price, OK?",0.02,0.08,0.03,0.02,0.17,0,0,0,0.54,0.43,0.28,0.34,0.78
"Which already foreshadows the main result that I've talked about, about what a crappy job it was, being in the gang. ",0.02,0,0.16,0.02,0.17,0,0,0,0.6,0,0.19,0.07,0.18
"There was a center there, where they were teaching people how to read and write, and get vaccinations against the many diseases you can get from sorting through garbage. ",0.01,0,0.01,0.02,0.17,0,0,0,0.87,0.55,0.76,0.82,0.57
" If you start taking losses, they see you as weak and shit."" And I thought about it and said, ""CEOs often pay themselves million-dollar bonuses, even when companies are losing a lot of money. ",0.01,0,0.03,0.02,0.17,0,0,0,0.45,0.38,0.85,0.48,0.66
"That can drop to eight; it can drop to seven but it's not going to drop to two, or to one and a half, unless we do some pretty clever things. ",0.01,0,0.03,0.02,0.17,0,0,0,0.24,0.69,0.02,0.44,0.63
"I've never seen anybody die from it who wasn't a pregnant woman.In 1967, the WHO embarked on what was an outrageous program to eradicate a disease. ",0.01,0,0.1,0.02,0.17,0,0,0,0.45,0,0.32,0.33,0.14
"And so, you need to understand what your worldview is.The problem is most people never really think it through. ",0.01,0,0.12,0.02,0.17,0,0,0,0.31,0.38,0.29,0.23,0.12
"So to find out that there was no Santa Claus at all was actually sort of a relief.I left the kitchen not really in shock about Santa, but rather, I was just dumbfounded about how I could have missed this whole age of reason thing. ",0,0,0.09,0.02,0.17,0,0,0,0.65,0,0.01,0.68,0.06
You have more influence than some of us who are Democrats do. ,0.07,0.06,0.02,0.02,0.16,0,0,0,0.76,0.8,0.72,0.65,0.81
"So if I'm trying to do homework and I don't feel like it, I'll try to draw or, you know, waste my time. ",0.07,0,0.11,0.02,0.16,0,0,0,0,0.41,0.02,0.45,0.02
I was worried about vaginas. ,0.06,0.02,0.84,0.02,0.16,0,0,0,0.61,0.13,0.39,0.56,0
"There would be no right or wrong and no hope beyond your brief years on Earth."" Now, I just do not believe that. ",0.02,0,0.05,0.02,0.16,0,0,0,0.6,0.9,0.34,0.82,0.57
"She's been on them ever since she was 13.I've got nothing against people who take them short term, when they're going through something horrible. ",0.01,0,0.13,0.02,0.16,0,0,0,0.24,0,0.1,0.19,0
"And I think one of the things that you should take away from this talk is that there's an impending cut-out-the-middle-man disintermediation, that's going to be happening in the publishing industry. ",0.01,0,0.06,0.02,0.16,0,0,0,0.86,0.12,0.08,0.13,0.3
"If we eliminate cancer the way we're trying to do now, with chemotherapy and radiation, we're bombarding the body or the cancer with toxins, or with radiation, trying to kill it. ",0,0,0.15,0.02,0.16,0,0,0,0.51,0.7,0.49,0.09,0.49
"It fails the Google test miserably."" The Google test is you look in Google and see if it's there, because if something's not even in Google, it probably doesn't exist at all. ",0,0,0.04,0.02,0.16,0,0,0,0.17,0.38,0,0.01,0.59
"Well, unfortunately, they didn't have sugarcane and they didn't have cassava, but that didn't stop us. ",0.08,0.03,0.09,0.02,0.15,0,0,0,0.09,0.44,0.01,0.64,0.38
"And I want to make it part of our culture that there is a community of people who are watching out for the worst nightmares of humanity, and that it's accessible to everyone.",0.01,0,0.02,0.02,0.15,0,0,0,0.94,0.88,0.15,0.12,0.44
"It just so happens to be on the 6th through 10th floors of the building, but that is not necessarily an expensive approach. ",0.01,0,0.2,0.02,0.15,0,0,0,0.58,0.5,0.09,0.02,0.81
"And the waste product from them after you extract the juice from the sugarcane is called ""bagasse."" It has no other use. ",0.01,0.01,0.02,0.02,0.15,0,0,0,0.8,0.86,0.49,0.01,0.88
"Often, our theories fail quite miserably when we over the data, but what's kind of interesting is that in this setting, it turned out that some of the economic theories that worked not so well in the real economy worked very well in the drug economy, in some sense, because it's unfettered capitalism. ",0,0,0.13,0.02,0.15,0,0,0.01,0.94,0.25,0.2,0.11,0.31
"And that basketball represents your identity, who you are: you're an NBA player. ",0.12,0.04,0.08,0.02,0.14,0,0,0,0.89,0.42,0.93,0.48,0.95
I was worried about my own vagina. ,0.05,0.01,0.81,0.02,0.14,0,0,0,0.59,0,0.27,0.48,0
"Had to operate behind the I-64 corridor, a street that cuts through the middle of these separate sites. ",0.03,0.01,0.12,0.02,0.14,0,0,0,0.74,0.15,0.58,0.08,0.76
"And that is, that when they analyzed the Diet Pepsi data, they were asking the wrong question. ",0.03,0.01,0.07,0.02,0.14,0,0,0,0.88,0.87,0.63,0.04,0.92
"These are the teenagers, typically, who'd be standing out on the street corner, selling the drugs. ",0.01,0.02,0.22,0.02,0.14,0,0,0,0.76,0.16,0.71,0.06,0.56
"Jewish man with family in the occupied territory, someone in New York who would have died if he was at work that day, and this man who wanted to be a terrorist, and I made it very clear. ",0,0,0.04,0.02,0.14,0,0,0,0.72,0.71,0.72,0.98,0.73
""" ""Sorry, Doc, I just don't have a clue."" ""No problem, Jim. ",0,0,0.19,0.02,0.14,0,0,0,0.08,0.03,0.08,0.3,0.28
"We were sitting there and I think they just went out of sequence, because we talked to the little boy afterward and we said, ""You OK with that?",0.01,0,0.09,0.02,0.13,0,0,0,0.84,0.97,0.62,0.98,0.64
"Haldane, the famous biologist, who said, ""Now, my own suspicion is that the universe is not only queerer than we suppose, but queerer than we can suppose. ",0.01,0,0.07,0.02,0.13,0,0,0,0.86,0.26,0.01,0,0.48
"You have choices with everything you buy, between things that have a harsh effect, or a much less harsh effect on the global climate crisis. ",0,0,0.27,0.02,0.13,0,0,0,0.84,0.14,0.39,0.35,0.3
"But this wave started, and if I question the wave, or try to stop the wave or look back at the wave, I often have the experience of whiplash or the potential of my neck breaking. ",0,0,0.07,0.02,0.13,0,0,0,0.97,0.1,0.1,0.06,0.34
"It was probably already too late in the 1970s, when the best available scientific theory was telling us that industrial emissions were about to precipitate a new ice age, in which billions would die.Now, the lesson of that seems clear to me, and I don't know why it isn't informing public debate. ",0,0,0.04,0.02,0.13,0,0,0,0.78,0.28,0.33,0.05,0.52
 Or are our brains so versatile and expandable that we can train ourselves to break out of the box of our evolution?,0.12,0,0.18,0.02,0.12,0,0,0,0.92,0.97,0.39,0.06,0.39
So we're targeting 50 dollars in 2010.The gray market's a big issue. ,0.09,0.02,0.1,0.02,0.12,0,0,0,0.71,0.23,0.93,0.52,0.75
" It doesn't mean that if you're a Republican, that I'm trying to convince you to be a Democrat. ",0.04,0.07,0.01,0.02,0.12,0,0,0,0.51,0.14,0.46,0.65,0.66
"And the school, in the '30s, wrote to her parents and said, ""We think Gillian has a learning disorder."" She couldn't concentrate; she was fidgeting. ",0.01,0,0.25,0.02,0.12,0,0,0,0.55,0.05,0.29,0.8,0.05
Here's an example.[I can't stop thinking about those other available parking spaces on W 85th street]Sorry if you're not New Yorkers. ,0.01,0,0.04,0.02,0.12,0,0,0,0.32,0,0.9,0.36,0.29
" You don't want to pick the wrong mutual fund, or the wrong salad dressing. ",0.08,0.11,0.05,0.02,0.11,0,0,0,0.67,0.25,0.93,0.69,0.57
"They're locked in, because so many add-ons and other company stuff locks into the old 1982 chassis. ",0.06,0.01,0.08,0.02,0.11,0,0,0,0.62,0,0.78,0.12,0.09
"And if I go down and look at Niger, where there was such a terrible famine, lastly, it's like this. ",0.02,0.01,0.09,0.02,0.11,0,0,0,0.72,0,0.66,0.47,0.1
"It has taken me to universities all over this country, where girls are date-raped and drugged. ",0.02,0.09,0.06,0.02,0.11,0,0,0,0.42,0.71,0.99,0.44,0.1
"But let's put it this way: would you pay $10 a month to have a watch that has to be recharged every night like your cell phone, and stops working when you leave your area code?",0.01,0,0.04,0.02,0.11,0,0,0,0.06,0.99,0.82,0.88,0.98
"There were weeds and piles of garbage and other stuff that I won't mention here, but she kept dragging me, and lo and behold, at the end of that lot was the river. ",0.01,0,0.08,0.02,0.11,0,0,0,0.99,0.1,0.21,0.48,0.11
"It addresses one of the biggest health issues on the planet, the number one cause of death in children under five. ",0.01,0,0.06,0.02,0.11,0,0,0,0.83,0.4,0.4,0.41,0.72
"And Prego turned to Howard, and they said, ""You're telling me that one third of Americans crave extra-chunky spaghetti sauce and yet no one is servicing their needs?",0.01,0,0.02,0.02,0.11,0,0,0,0.79,0.47,0.92,0.29,0.23
"And this is what happens: the data during the war indicate that even with all the death, there was an improvement of life expectancy. ",0.01,0,0.11,0.02,0.11,0,0,0,0.94,0.87,0.39,0.17,0.82
"It's a lot easier to be lighthearted about other people's tragedy than your own, and I want to keep it in the spirit of the conference.So, if you believe the media accounts, being a drug dealer in the height of the crack cocaine epidemic was a very glamorous life, in the words of Virginia Postrel. ",0,0,0.02,0.02,0.11,0,0,0,0.89,0.07,0.44,0.04,0.65
"My big brother Lenny fought in Vietnam, only to be gunned down a few blocks from our home. ",0.07,0.02,0.23,0.02,0.1,0,0,0,0.09,0.84,0.61,0.77,0.79
"It seems to me to be such a plausible, natural extension of the democratic principles we already have that I'm shocked to think anybody would find that just ridiculous. ",0.03,0,0.02,0.02,0.1,0,0,0,0.7,0.27,0.3,0.71,0.23
"I felt like a war photographer who takes pictures of terrible events, but doesn't intervene on their behalf.And so in 1997, I said, ""Let's get women together. ",0.01,0,0.05,0.02,0.1,0,0,0,0.76,0,0.74,0.68,0.03
"This is a nationwide policy agenda I'm trying to build, and as you all know, politics are personal. ",0.01,0.03,0.02,0.02,0.1,0,0,0,0.73,0.79,0.95,0.12,0.56
"They think, ""Well, you know, figuring out what people think about cola's not that easy."" ""You know, maybe we made an error somewhere along the way."" ""You know, let's just make an educated guess,"" and they simply point and they go for 10 percent, right in the middle. ",0,0,0.02,0.02,0.1,0,0,0,0.8,0.99,0.74,0.96,0.91
"It wasn't mine before I was born, it's not going to be mine after I die, I'm just here for 80 years and then that's it.I was debating the other day on a talk show, and the guy was challenging me and he'd go, ""What's a pastor doing on protecting the environment?",0,0,0.02,0.02,0.1,0,0,0,0.49,0.06,0.1,0.52,0.52
"It turns out, the death rates on death row from all causes, including execution: two percent a year.(Laughter)So it's a lot safer being on death row than it is selling drugs out on the street.That gives you some pause, for those of you who believe that a death penalty's going to have an enormous deterrent effect on crime. ",0,0,0.04,0.02,0.1,0,0,0,0.92,0.6,0.74,0.39,0.77
"I saw the bombs being loaded on the planes, I saw the military going out to war, but you don't understand people's anger towards us until you see the people in the hospitals and the victims of the war, and how do we get out of this bubble?",0,0,0.12,0.02,0.1,0,0,0,0.68,0.81,0.4,0.1,0.68
"The operating system tells you how to get there, and some people's map is, ""I'm going to save lives even if I die for other people,"" and they're a fireman, and somebody else says, ""I'm going to kill people to do it."" They're trying to meet the same needs of significance. ",0,0,0.02,0.02,0.1,0,0,0,0.36,0,0.16,0.1,0.1
"Understand that not only does this mean that people are going to have to eat dog food when they retire because they don't have enough money put away, it also means that making the decision is so hard that they pass up significant matching money from the employer. ",0,0,0.02,0.02,0.1,0.13,0,0,0.31,0.82,0.05,0.1,0.55
"We had from the sublime to the ridiculous, but they worked. ",0.9,0.03,0.02,0.02,0.09,0,0,0,0.63,0.78,0.23,0.54,0.78
"So the big question when you've got this really chaotic organization is, why isn't it all rubbish?",0.07,0.06,0.09,0.02,0.09,0,0,0,0.17,0.01,0.43,0.08,0.01
""" Queerer than can in principle be supposed, or just queerer than we can suppose, given the limitations of our brain's evolutionary apprenticeship in Middle World?",0.03,0,0.14,0.02,0.09,0,0,0,0.79,0.5,0.01,0.01,0.33
"Stubblebine, who commanded 16,000 soldiers, was confounded by his continual failure to walk through the wall. ",0.02,0.03,0.45,0.02,0.09,0,0,0,0.41,0.3,0.32,0.45,0.68
"When we know of an impending disaster, and how to solve it at a cost less than the cost of the disaster itself, then there's not going to be much argument, really. ",0.02,0,0.02,0.02,0.09,0,0,0,0.48,0.05,0.01,0.17,0.54
"I knew that there was a completely other story being told, and I was thinking, ""How are people supposed to communicate with each other when they're getting completely different messages, and nobody knows what the other's being told?",0.01,0,0.01,0.02,0.09,0,0,0,0.82,0.09,0.78,0.94,0.08
"Most of the news in America won't show really gory images and this showed American soldiers in uniform, strewn about a floor, a cold tile floor. ",0.01,0.03,0.06,0.02,0.09,0,0,0.09,0.41,0.05,0.41,0.2,0.25
"And I know that we can't all do exchange programs, and I can't force everybody to travel; I've already talked about that to Chris and Amy, and they said that there's a problem with this: You can't force people, free will. ",0,0,0.09,0.02,0.09,0,0,0,0.38,0.84,0.71,0.97,0.41
"Now it is true that at the end of the day, an administrator can go through here and take a look at this and say, ""OK, 18 deletes, two keeps: we'll delete it."" But in other cases, this could be 18 deletes and two keeps, and we would keep it, because if those last two keeps say, ""Wait a minute. ",0,0,0,0.02,0.09,0,0,0,0.77,0.98,0.08,0.94,0.63
"And at some point I'll even pass around what the $100 laptop might be like.I was asked by Chris to talk about some of the big issues, and so I figured I'd start with the three that at least drove me to do this. ",0,0,0.04,0.02,0.09,0,0,0,0.72,0.6,0.65,0.93,0.66
"] [Tzvika off-screen: We're looking for three girls.][We have no information.][Ayelet: One is wounded here, but we haven't heard from the other three.][Tzvika: I said, ""OK, that's Bat-Chen, that's my daughter.] [Are you sure she is dead?",0,0,0,0.02,0.09,0,0,0,0.65,0.64,0.45,0.93,0.33
"I mean, even if women tried to have a baby every single year from the time they were 15 to the time they were 45, assuming they didn't die from exhaustion, it still seems like some women would have some time left over to hear the word of God."" And they said, ""No.""(Laughter)Well, then they didn't look so fresh-faced and cute to me any more, but they had more to say. ",0,0,0.01,0.02,0.09,0,0,0,0.54,0.78,0.03,0.87,0.48
"There are some web pages like this, you know, but they take some nourishment down from the databases, but people put prices on them, stupid passwords and boring statistics.(Laughter)And this won't work.(Applause)So what is needed?",0,0,0.01,0.02,0.09,0,0,0,0.54,0.8,0.8,0.44,0.16
"Poor people are not only still poor, they are still unhealthy.Fortunately, there are many people like me who are striving for solutions that won't compromise the lives of low-income communities of color in the short term, and won't destroy us all in the long term. ",0,0,0.03,0.02,0.09,0,0,0.12,0.55,0.38,0.63,0.04,0.28
 Smoke a cigarette?,0.11,0.74,0.09,0.02,0.08,0,0,0,0.31,0.27,0.54,0.6,0.3
The danger is not at all unprecedented. ,0.06,0.05,0.85,0.02,0.08,0,0,0,0.95,0.42,0.74,0.23,0.59
"We're at best ignored, and maligned and abused, at worst, by negligent regulatory agencies, pernicious zoning and lax governmental accountability. ",0.04,0.01,0.04,0.02,0.08,0,0,0,0.54,0.45,0.94,0.32,0.06
"We all have had times, you did something, and after, you thought to yourself, ""I can't believe I said or did that, that was so stupid."" Who's been there?",0.03,0,0.03,0.02,0.08,0,0,0,0.18,0.55,0.05,0.99,0.48
"But why is the technical overload crisis, the complexity crisis, accelerating now?",0.03,0.05,0.25,0.02,0.08,0,0,0,0.75,0.15,0.42,0.32,0.04
"It is no longer the case in the United States that you go to the doctor, and the doctor tells you what to do. ",0.01,0,0.11,0.02,0.08,0,0,0,0.44,0.97,0.23,0.56,0.94
"It's a process that takes rationality almost to an absurd level, and it transcends all the baggage that normally comes with what people would call, sort of a rational conclusion to something. ",0.01,0,0.07,0.02,0.08,0,0,0,0.92,0.02,0.23,0.09,0.18
"I get the phone call when the athlete is burning down on national television, and they were ahead by five strokes and now they can't get back on the course. ",0.01,0,0.13,0.02,0.08,0,0,0,0.54,0.9,0.65,0.04,0.89
"So, this oak-paneled room, and she was there with her mother, and she was led and sat on this chair at the end, and she sat on her hands for 20 minutes while this man talked to her mother about the problems Gillian was having at school. ",0,0,0.23,0.02,0.08,0,0,0,0.55,0.4,0.99,0.98,0.33
"I think he's going to talk about that later in the conference.Now, I don't think that probability is the right category to discuss this issue in, but I do agree with him about this: We can survive and we can fail to survive. ",0,0,0.06,0.02,0.08,0,0,0,0.46,0.65,0.07,0.75,0.27
"And that calling can touch other people.My life was touched because when I was 11 years old, Thanksgiving, no money, no food, we were not going to starve, but my father was totally messed up, my mom was letting him know how bad he messed up, and somebody came to the door and delivered food. ",0,0,0.02,0.02,0.08,0,0,0,0.1,0.09,0.39,0.58,0.47
"The more options there are, the easier it is to regret anything at all that is disappointing about the option that you chose.Second, what economists call ""opportunity costs."" Dan Gilbert made a big point this morning of talking about how much the way in which we value things depends on what we compare them to. ",0,0,0,0.02,0.08,0,0,0,0.48,0.75,0.8,0.45,0.82
"It has taken me to Juarez, Mexico, where I was a week ago, where I have literally been there in parking lots, where bones of women have washed up and been dumped next to Coca-Cola bottles. ",0,0,0.13,0.02,0.08,0,0,0,0.5,0.84,0.4,0.33,0.31
"So you're not just doing a building for the residents or for the people who are going to use it, but for the community as a whole.And in 1999, we started by responding to the issue of the housing crisis for returning refugees in Kosovo. ",0,0,0.04,0.02,0.08,0,0,0,0.62,0.39,0.52,0.04,0.67
"How many of you know somebody who, no matter what happens, finds a way to get pissed off?",0.16,0.01,0.04,0.02,0.07,0,0,0,0.05,0.54,0.61,0.78,0.5
Barry Bonds can replace me any time.Let's get another disease off the list of terrible things to worry about. ,0.04,0,0.17,0.02,0.07,0.02,0,0,0.45,0.06,0.25,0.39,0.36
" Because with 50 funds to choose from, it's so damn hard to decide which fund to choose, that you'll just put it off until tomorrow. ",0.03,0,0.05,0.02,0.07,0,0,0,0.01,0.71,0.1,0.81,0.54
"When I was about 24 years old, Kate Stohr and myself started an organization to get architects and designers involved in humanitarian work, not only about responding to natural disasters, but involved in systemic issues. ",0.01,0,0.02,0.02,0.07,0,0,0,0.78,0,0.9,0.66,0.01
"It's a shepherd's staff."" And God says, ""Throw it down."" And if you saw the movie, you know, he throws it down and it becomes a snake. ",0.01,0.02,0.09,0.02,0.07,0,0,0,0.86,0.74,0.4,0.61,0.92
"The fact that the bat uses echoes in pitch darkness to input the current variables to its model, while the swallow uses light, is incidental. ",0.01,0.01,0.07,0.02,0.07,0,0,0,0.84,0.18,0.39,0.01,0.82
" I'm going to give you some examples where intelligence makes something not consistent, but it's better.If you are buying something on the web, you're supposed to put in your address, and you're supposed to choose what country you're from, ok?",0,0,0.02,0.02,0.07,0,0,0,0.68,0.49,0.94,0.88,0.8
"You will never see it again."" Half of the students in each of these conditions are asked to make predictions about how much they're going to come to like the picture that they keep and the picture they leave behind. ",0,0,0.07,0.02,0.07,0,0,0,0.43,0.95,0.26,0.86,0.37
"If you look at my driver's license, I have the same look, and it's a pretty disturbing thing, but it's something that is really important.And the last story I really want to tell is this story, because this is probably the one that means the most to me in all of what I'm doing. ",0,0,0.02,0.02,0.07,0.11,0,0,0.85,0.37,0.02,0.63,0.12
"I ran up to him and said, ""Bill! I just realized that the age of reason starts when you turn seven, and then you're capable of committing any and all sins against God and man."" And Bill said, ""So?",0,0,0.05,0.02,0.07,0,0,0,0.73,0.56,0.35,0.44,0.7
"so that the king may care for the widow and orphan, support the oppressed, defend the defenseless, care for the sick, assist the poor, speak up for the foreigner, those in prison."" Basically, he's talking about all the marginalized in society.And as I read that, I looked at it, and I thought, you know, what this is saying is that the purpose of influence is to speak up for those who have no influence. ",0,0,0,0.02,0.07,0,0,0,0.85,0.33,0.6,0.31,0.59
"So in some very literal way, the young black men who were growing up in this country were living in a war zone, very much in the sense that the soldiers over in Iraq are fighting in a war.So why in the world, you might ask, would anybody be willing to stand out on a street corner selling drugs for $3.50 an hour, with a 25 percent chance of dying over the next four years?",0,0,0.08,0.02,0.07,0,0,0,0.76,0.06,0.77,0.29,0.53
"A parade of government subsidies is going to propose big-box and stadium developments in the South Bronx, but there is scant coordination between city agencies on how to deal with the cumulative effects of increased traffic, pollution, solid waste and the impacts on open space. ",0,0,0.04,0.02,0.07,0,0,0,0.75,0.15,0.92,0.11,0.67
"Here's one that shows the sort of current breakdown of the different religions.Do we really want to commit ourselves to engulfing all the other religions, when their holy books are telling them, ""Don't listen to the other side, that's just Satan talking!""?",0,0,0.03,0.02,0.07,0,0,0,0.92,0.15,0.04,0.02,0.17
"But are you a certainty freak, is that what you value most, or uncertainty?",0.08,0.02,0.2,0.02,0.06,0,0,0,0.97,0.65,0.77,0.64,0.7
"When the war broke out, the rebel leader demanded the fund be given to him, my father insisted it was not in his possession, and he was killed because of his refusal to release the fund. ",0.06,0.01,0.03,0.02,0.06,0,0,0,0.72,0.77,0.3,0.44,0.9
"I was sick, and I was in a hotel room, and I wanted not to be there. ",0.02,0.04,0.18,0.02,0.06,0,0,0,0.34,0.01,0.08,0.81,0.09
" That night is when 9/11 happened.One woman had come to the seminar, and when she came there, her previous boyfriend had been kidnapped and murdered. ",0.01,0.01,0.1,0.02,0.06,0,0,0,0.4,0.55,0.76,0.98,0.41
Some of you are old enough to remember: he was the chairman of the House of Representatives and he resigned in disgrace when this young Republican named Newt Gingrich found out about a shady book deal he had done. ,0.01,0,0.01,0.02,0.06,0,0,0.17,0.9,0.84,0.87,0.8,0.74
"I fell asleep on the plane until, during the middle of the night, we landed on the Azores Islands for refueling. ",0.01,0,0.48,0.02,0.06,0,0,0,0.07,0.52,0.17,0.04,0.72
"][Woman: Be careful!] [And the real people building peace through non-violence] [Encounter Point] Video: (Ambulance siren) [Tel Aviv, Israel 1996][Tzvika: My wife Ayelet called me and said, ] [""There was a suicide bombing in Tel Aviv.""][Ayelet: What do you know about the casualties?",0,0,0.01,0.02,0.06,0,0,0,0.82,0.16,0.99,0.96,0.5
"I'm going to talk to you about some stuff that's in this book of mine that I hope will resonate with other things you've already heard, and I'll try to make some connections myself, in case you missed them.But I want to start with what I call the ""official dogma."" The official dogma of what?",0,0,0.04,0.02,0.06,0,0,0,0.87,0.71,0.19,0.96,0.29
"What women lined up to tell me was how they were raped, and how they were battered, and how they were beaten, and how they were gang-raped in parking lots, and how they were incested by their uncles. ",0,0.01,0.14,0.02,0.06,0,0,0,0.66,0.63,0.88,0.85,0.62
"And we all pay dearly for solid waste costs, health problems associated with pollution and more odiously, the cost of imprisoning our young black and Latino men, who possess untold amounts of untapped potential. ",0,0,0.04,0.02,0.06,0,0,0,0.81,0.82,0.86,0.77,0.82
"And what was coming across on the news was that there was going to be this clean war and precision bombings, and the Iraqis would be greeting the Americans as liberators, and throwing flowers at their feet in the streets of Baghdad. ",0,0.01,0.07,0.02,0.06,0,0,0,0.97,0.76,0.91,0.31,0.83
"And as we walked through the streets, the people of Juarez, who normally don't even come into the streets, because the streets are so dangerous, literally stood there and wept, to see that other people from the world had showed up for that particular community.There's another woman, named Agnes. ",0,0,0.03,0.02,0.06,0,0,0,0.76,0.2,0.74,0.27,0.5
"And the idea there is that outside the spaceship, the universe is implacably hostile, and inside is all we have, all we depend on, and we only get the one chance: if we mess up our spaceship, we've got nowhere else to go. ",0,0,0.12,0.02,0.06,0,0,0,0.73,0.92,0.31,0.03,0.49
"If I'm cooking, the door is shut, the kids are out, the phone's on the hook, if she comes in I get annoyed. ",0.43,0,0.01,0.02,0.05,0.35,0,0,0.58,0.13,0.78,0.04,0.38
"And we would be accused of [piracy] for doing that, because this music has been propertized. ",0.3,0.02,0,0.02,0.05,0,0,0,0.88,0.88,0.62,0.47,0.58
What if you had a nose job and you liked it?,0.04,0.13,0.08,0.02,0.05,0,0,0,0.63,0.81,0.79,0.96,0.89
"And slightly to one side.If you were to visit education, as an alien, and say ""What's it for, public education?",0.02,0.01,0.14,0.02,0.05,0.38,0,0,0.49,0.67,0.62,0.92,0.76
"However, when we're not at TED, we are often told that a real sustainability policy agenda is just not feasible, especially in large urban areas like New York City. ",0.01,0,0.01,0.02,0.05,0,0,0,0.92,0.62,0.98,0.71,0.63
"Nobody else saw this but I found it in a book, and I found a link to a page that describes it, and I'm going to clean it up tomorrow, so please don't delete it,"" then it would survive.And it also matters who the people are who are voting. ",0,0,0.02,0.02,0.05,0,0,0,0.59,0.86,0.01,0.91,0.35
"Meanwhile, my mother and I is the only person who knows about it because my father always confide in me.(Sighs)I made an arrangement with a Red Cross relief worker, who used his official van to transport the money to Lungi Airport, Freetown, although he did not know the real contents of the box.(Laughter)The fund was deposited as a family reasure, in a safe, reliable security company in Dakar, Senegal, where I was only given temporary asylum. ",0,0,0,0.02,0.05,0.05,0,0,0.66,0.13,0.36,0.66,0.59
"There are people who like their spaghetti sauce plain; there are people who like their spaghetti sauce spicy; and there are people who like it extra chunky.And of those three facts, the third one was the most significant, because at the time, in the early 1980s, if you went to a supermarket, you would not find extra-chunky spaghetti sauce. ",0,0,0.01,0.02,0.05,0,0,0,0.92,0.79,0.96,0.46,0.7
"Environmental justice, for those of you who may not be familiar with the term, goes something like this: no community should be saddled with more environmental burdens and less environmental benefits than any other.Unfortunately, race and class are extremely reliable indicators as to where one might find the good stuff, like parks and trees, and where one might find the bad stuff, like power plants and waste facilities. ",0,0,0.04,0.02,0.05,0,0,0,0.89,0.57,0.88,0.19,0.49
"And over the course of the last six years, it's spread and it's spread and it's spread around the world.What I have learned is two things: one, that the epidemic of violence towards women is shocking; it's global; it is so profound and it is so devastating, and it is so in every little pocket of every little crater, of every little society that we don't even recognize it, because it's become ordinary. ",0,0,0.02,0.02,0.05,0,0,0,0.93,0.36,0.08,0.14,0.28
"But the thing is, in a comprehensible universe, if something isn't forbidden by the laws of physics, then what could possibly prevent us from doing it, other than knowing how?",0,0,0.18,0.02,0.05,0,0,0,0.91,0.54,0,0.11,0.48
